Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker,Date,Sector
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-04-12 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-04-13 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-04-14 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-04-15 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-04-16 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-04-19 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-04-20 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-04-21 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-04-22 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-04-23 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-04-26 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-04-27 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-04-28 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-04-29 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-04-30 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-03 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-04 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-05 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-06 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-07 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-10 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-11 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-12 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-13 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-14 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-17 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-18 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-19 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-20 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-21 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-24 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-25 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-26 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-27 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-28 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-05-31 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-01 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-02 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-03 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-04 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-07 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-08 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-09 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-10 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-11 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-15 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-16 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-17 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-18 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-21 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-22 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-23 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-24 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-25 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-28 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-29 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-06-30 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-01 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-02 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-05 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-06 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-07 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-08 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-09 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-12 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-13 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-14 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-15 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-16 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-19 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-20 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-21 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-22 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-23 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-26 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-27 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-28 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-29 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-07-30 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-02 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-03 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-04 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-05 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-06 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-09 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-10 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-11 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-12 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-13 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-16 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-17 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-18 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-19 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-20 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-23 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-24 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-25 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-26 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-27 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-30 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-08-31 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-01 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-02 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-03 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-06 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-07 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-08 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-09 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-10 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-13 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-14 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-15 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-16 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-17 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-20 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-21 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-22 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-23 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-24 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-27 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-28 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-29 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-09-30 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-01 00:00:00+10:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-04 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-05 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-06 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-07 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-08 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-11 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-12 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-13 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-14 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-15 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-18 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-19 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-20 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-21 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-22 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-25 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-26 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-27 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-28 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-10-29 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-01 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-02 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-03 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-04 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-05 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-08 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-09 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-10 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-11 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-12 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-15 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-16 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-17 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-18 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-19 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-22 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-23 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-24 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-25 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-26 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-29 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-11-30 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-12-01 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-12-02 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-12-03 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-12-06 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-12-07 00:00:00+11:00,Commercial & Professional Services
0.24500000476837158,0.24500000476837158,0.24500000476837158,0.24500000476837158,0,0.0,0.0,0.0,PET,2021-12-08 00:00:00+11:00,Commercial & Professional Services
